Country,League,home_team,away_team,home_score,away_score,season_year,first_half,second_half,home_team_goals_current_time,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals,away_team_goals_assist,home_team_yellow_card_why,away_team_yellow_card_why,home_team_red_card_why,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,expected_goals_xg_home,expected_goals_xg_away,Ball_Possession_Home,Ball_Possession_Away,Shots_on_Goal_Home,Shots_on_Goal_Away,Offsides_Home,Offsides_Away,Goalkeeper_Saves_Home,Goalkeeper_Saves_Away,Fouls_Home,Fouls_Away,Red_Cards_Home,Red_Cards_Away,Yellow_Cards_Home,Yellow_Cards_Away,Total_Passes_Home,Total_Passes_Away,resultado,diferencia_goles,total_goles,Mayor_Posesion,equipo_mas_amarillas,equipo_recibe_mas_tiros,portero_mas_paradas,minuto_gol_home,minuto_gol_away,equipo_marco_primero,equipo_ganador,anoto_primero_y_gano,save_ratio_home,save_ratio_away,equipo_mas_faltas,mas_faltas_perdio,gana_quien_mas_amarillas
Germany,Bundesliga,B. Monchengladbach,Werder Bremen,4,1,2024/2025,3 - 0,1 - 1,"[""11'"", ""12'"", ""45'"", ""66'""]","['Plea A.', 'Friedl M.', 'Honorat F.', 'Stoger K.']","['(Kleindienst T.)', '(Own goal)', '(Kleindienst T.)', '(Kleindienst T.)']","[""75'""]",['Topp K.'],['(Ducksch M.)'],['(Roughing)'],"['(Roughing)', '(Foul)', '(Foul)']",,['(Foul)'],"[""63'"", ""71'"", ""71'"", ""77'"", ""77'""]","['Stoger K.', 'Neuhaus F.', 'Cvancara T.', 'Chiarodia F. C.', 'Ngoumou N.']","['Plea A.', 'Hack R.', 'Kleindienst T.', 'Ullrich L.', 'Honorat F.']","[""46'"", ""46'"", ""46'"", ""68'"", ""81'""]","['Veljkovic M.', 'Jung A.', 'Kohn D.', 'Topp K.', 'Burke O.']","['Malatini J.', 'Pieper A.', 'Agu F.', 'Njinmah J.', 'Bittencourt L.']",2.39,1.46,47.0,53.0,8.0,5.0,2.0,1.0,4.0,4.0,12.0,10.0,0.0,1.0,1.0,4.0,479.0,549.0,local,3,5,visitante,visitante,visitante,igual,11.0,75.0,home,home,1,0.8,0.5,home,0,False
Germany,Bundesliga,Freiburg,Mainz,0,0,2024/2025,0 - 0,0 - 0,,,,,,,['(Roughing)'],"['(Foul)', '(Roughing)']",,,"[""66'"", ""66'"", ""66'"", ""72'"", ""88'""]","['Hofler N.', 'Weisshaupt N.', 'Rosenfelder M.', 'Gregoritsch M.', 'Sildillia K.']","['Eggestein M.', 'Grifo V.', 'Lienhart P.', 'Adamu J.', 'Doan R.']","[""46'"", ""74'"", ""90'"", ""90+3'""]","['Sieb A.', 'Hong Hyun-Seok', 'Widmer S.', 'Veratschnig N.']","['Burkardt J.', 'Amiri N.', 'Caci A.', 'Nebel P.']",0.77,0.53,51.0,49.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,12.0,0.0,0.0,1.0,2.0,471.0,443.0,empate,0,0,local,visitante,igual,igual,,,ninguno,draw,0,1.0,1.0,away,1,False
Germany,Bundesliga,Dortmund,RB Leipzig,2,1,2024/2025,1 - 1,1 - 0,"[""30'"", ""65'""]","['Beier M.', 'Guirassy S.']","['(Nmecha F.)', '(Beier M.)']","[""27'""]",['Sesko B.'],['(Openda L.)'],"['(Foul)', '(Roughing)', '(Foul)']","['(Holding)', '(Holding)', '(Roughing)', '(Roughing)']",,,"[""67'"", ""79'"", ""90+4'""]","['Azhil A.', 'Malen D.', 'Campbell C.']","['Sabitzer M.', 'Gittens J.', 'Beier M.']","[""64'"", ""64'"", ""70'"", ""70'"", ""82'""]","['Elmas E.', 'Kampl K.', 'Poulsen Y.', 'Bitshiabu E.', 'Ouedraogo A.']","['Baumgartner C.', 'Haidara A.', 'Sesko B.', 'Henrichs B.', 'Nusa A.']",2.71,0.41,56.0,44.0,7.0,3.0,2.0,2.0,2.0,5.0,11.0,12.0,0.0,0.0,3.0,4.0,528.0,418.0,local,1,3,local,visitante,visitante,visitante,30.0,27.0,away,home,0,0.6666666666666666,0.7142857142857143,away,1,False
Germany,Bundesliga,Bayern Munich,Union Berlin,3,0,2024/2025,2 - 0,1 - 0,"[""15'"", ""43'"", ""51'""]","['Kane H.', 'Coman K.', 'Kane H.']","['(Penalty)', '(Kane H.)', '(Coman K.)']",,,,,"['(Holding)', '(Tripping)']",,,"[""69'"", ""69'"", ""69'"", ""74'"", ""80'""]","['Goretzka L.', 'Sane L.', 'Dier E.', 'Muller T.', 'Aznou A.']","['Kim Min-Jae', 'Olise M.', 'Palhinha J.', 'Musiala J.', 'Davies A.']","[""60'"", ""60'"", ""69'"", ""69'"", ""80'""]","['Vertessen Y.', 'Skarke T.', 'Schafer A.', 'Haberer J.', 'Roussillon J.']","['Hollerbach B.', 'Siebatcheu J.', 'Kemlein A.', 'Jeong Woo-Yeong', 'Vogt K.']",2.48,0.5,77.0,23.0,7.0,1.0,1.0,3.0,1.0,4.0,2.0,9.0,0.0,0.0,0.0,2.0,866.0,244.0,local,3,3,local,visitante,visitante,visitante,15.0,,home,home,1,1.0,0.5714285714285714,away,1,False
Germany,Bundesliga,Eintracht Frankfurt,Bochum,7,2,2024/2025,4 - 1,3 - 1,"[""9'"", ""18'"", ""20'"", ""32'"", ""61'"", ""66'"", ""69'""]","['Ekitike H.', 'Marmoush O.', 'Knauff A.', 'Brown N.', 'Dahoud M.', 'Uzun C. Y.', 'Ekitike H.']","['(Marmoush O.)', '-', '-', '(Collins N.)', '(Skhiri E.)', '(Marmoush O.)', '(Dahoud M.)']","[""35'"", ""51'""]","['de Wit D.', 'Hofmann P.']","['(Masovic E.)', '(Passlack F.)']",['(Holding)'],"['(Tripping)', '(Delay of game)']",,,"[""65'"", ""73'"", ""73'"", ""73'"", ""82'""]","['Uzun C. Y.', 'Matanovic I.', 'Larsson H.', 'Chandler T.', 'Amenda A.']","['Bahoya J.', 'Marmoush O.', 'Skhiri E.', 'Koch R.', 'Tuta']","[""32'"", ""46'"", ""46'"", ""67'"", ""82'""]","['Holtmann G.', 'Oermann T.', 'Bero M.', 'Gamboa C.', 'Daschner L.']","['Wittek M.', 'Miyoshi K.', 'Broschinski M.', 'Passlack F.', 'Hofmann P.']",1.97,1.66,65.0,35.0,9.0,8.0,0.0,1.0,6.0,2.0,6.0,15.0,0.0,0.0,1.0,2.0,594.0,324.0,local,5,9,local,visitante,visitante,local,9.0,35.0,home,home,1,0.75,0.2222222222222222,away,1,False
Germany,Bundesliga,Hoffenheim,St. Pauli,0,2,2024/2025,0 - 1,0 - 1,,,,"[""20'"", ""90+3'""]","['Afolayan O.', 'Albers A.']","['(Irvine J.)', '(Irvine J.)']",,"['(Holding)', '(Not on pitch)']",,,"[""46'"", ""66'"", ""66'"", ""85'"", ""85'""]","['Tabakovic H.', 'Berisha M.', 'Jurasek D.', 'Kaderabek P.', 'Bruun Larsen J.']","['Hlozek A.', 'Bulter M.', 'Prass A.', 'Arthur Chaves', 'Gendrey V.']","[""50'"", ""80'"", ""88'"", ""88'""]","['Ritzka L.', 'Wagner R.', 'Dzwigala A.', 'Albers A.']","['Treu P.', 'Afolayan O.', 'Saliakas M.', 'Eggestein J.']",1.16,0.82,68.0,32.0,6.0,3.0,2.0,0.0,1.0,6.0,10.0,10.0,0.0,0.0,0.0,2.0,631.0,295.0,visitante,2,2,local,visitante,visitante,visitante,,3.0,away,away,1,0.3333333333333333,1.0,empate,0,True
Germany,Bundesliga,Holstein Kiel,Heidenheim,1,0,2024/2025,1 - 0,0 - 0,"[""28'""]",['Erras P.'],['(Geschwill M.)'],,,,"['(Unsportsmanlike conduct)', '(Tripping)', '(Foul)', '(Foul)']","['(Foul)', '(Foul)', '(Unsportsmanlike conduct)', '(Foul)', '(Tripping)']",,,"[""46'"", ""46'"", ""78'"", ""78'"", ""85'""]","['Rosenboom L.', 'Porath F.', 'Schulz M.', 'Komenda M.', 'Pichler B.']","['Becker T.', 'Gigovic A.', 'Skrzybski S.', 'Puchacz T.', 'Harres P.']","[""46'"", ""74'"", ""74'"", ""85'"", ""85'""]","['Honsak M.', 'Kaufmann M.', 'Breunig M.', 'Beck A.', 'Conteh S.']","['Siersleben T.', 'Gimber B.', 'Dorsch N.', 'Wanner P.', 'Pieringer M.']",1.76,1.0,46.0,54.0,6.0,4.0,1.0,0.0,4.0,5.0,16.0,14.0,0.0,0.0,4.0,5.0,318.0,400.0,local,1,1,visitante,visitante,visitante,visitante,28.0,,home,home,1,1.0,0.8333333333333334,home,0,False
Germany,Bundesliga,Wolfsburg,Augsburg,1,1,2024/2025,0 - 1,1 - 0,"[""82'""]",['Amoura M.'],['(Maehle J.)'],"[""34'""]",['Tietz P.'],['(Schlotterbeck K.)'],['(Roughing)'],"['(Roughing)', '(Delay of game, misses next match)', '(Foul)']",,,"[""57'"", ""57'"", ""68'"", ""80'"", ""80'""]","['Behrens K.', 'Majer L.', 'Gerhardt Y.', 'Nmecha L.', 'Kaminski J.']","['Fischer K.', 'Wind J.', 'Majer L.', 'Tomas T.', 'Baku R.']","[""66'"", ""66'"", ""77'"", ""77'""]","['Essende S.', 'Kabadayi Y.', 'Koudossou H.', 'Maier A.']","['Tietz P.', 'Claude-Maurice A.', 'Wolf M.', 'Rexhbecaj E.']",1.3,0.36,70.0,30.0,6.0,1.0,0.0,1.0,0.0,5.0,7.0,14.0,0.0,0.0,1.0,3.0,626.0,254.0,empate,0,2,local,visitante,visitante,visitante,82.0,34.0,away,draw,0,0.0,0.8333333333333334,away,1,False
Germany,Bundesliga,Bayer Leverkusen,Stuttgart,0,0,2024/2025,0 - 0,0 - 0,,,,,,,"['(Roughing)', '(Roughing)', '(Unsportsmanlike conduct)']","['(Holding)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)']",,,"[""54'"", ""86'"", ""86'"", ""86'""]","['Hofmann J.', 'Tella N.', 'Palacios E.', 'Schick P.']","['Mukiele N.', 'Frimpong J.', 'Andrich R.', 'Boniface V.']","[""8'"", ""58'"", ""58'"", ""80'"", ""80'""]","['Rieder F.', 'Hendriks R.', 'Fuhrich C.', 'Demirovic E.', 'Al Dakhil A.']","['Leweling J.', 'Mittelstadt M.', 'Rieder F.', 'Toure E. B.', 'Millot E.']",2.19,0.28,52.0,48.0,5.0,1.0,9.0,0.0,1.0,5.0,13.0,14.0,0.0,0.0,3.0,4.0,426.0,408.0,empate,0,0,local,visitante,visitante,visitante,,,ninguno,draw,0,1.0,1.0,away,1,False
Germany,Bundesliga,Heidenheim,Hoffenheim,0,0,2024/2025,0 - 0,0 - 0,,,,,,,['(Tripping)'],"['(Roughing)', '(Tripping)']",,,"[""70'"", ""70'"", ""84'""]","['Breunig M.', 'Conteh S.', 'Beck A.']","['Pieringer M.', 'Dorsch N.', 'Wanner P.']","[""58'"", ""58'"", ""67'"", ""83'"", ""83'""]","['Tohumcu U.', 'Kaderabek P.', 'Berisha M.', 'Samassekou D.', 'Arthur Chaves']","['Grillitsch F.', 'Gendrey V.', 'Bulter M.', 'Bischof T.', 'Nsoki S.']",1.29,0.56,47.0,53.0,3.0,4.0,0.0,0.0,4.0,3.0,12.0,16.0,0.0,0.0,1.0,2.0,360.0,443.0,empate,0,0,visitante,visitante,local,local,,,ninguno,draw,0,1.0,1.0,away,1,False
